Path,Problem,Format,Dataset,Best known solution value,Best known bound
batchschedulingtotalweightedtardiness/queiroga2020/Capacity20/10/10J_s10_r10/1.dat,batchschedulingtotalweightedtardiness,queiroga2020,queiroga2020,404,404
batchschedulingtotalweightedtardiness/queiroga2020/Capacity20/10/10J_s10_r10/2.dat,batchschedulingtotalweightedtardiness,queiroga2020,queiroga2020,186,186
batchschedulingtotalweightedtardiness/queiroga2020/Capacity20/10/10J_s10_r10/3.dat,batchschedulingtotalweightedtardiness,queiroga2020,queiroga2020,209,209
batchschedulingtotalweightedtardiness/queiroga2020/Capacity20/10/10J_s10_r10/4.dat,batchschedulingtotalweightedtardiness,queiroga2020,queiroga2020,186,186
batchschedulingtotalweightedtardiness/queiroga2020/Capacity20/10/10J_s10_r10/5.dat,batchschedulingtotalweightedtardiness,queiroga2020,queiroga2020,448,448
batchschedulingtotalweightedtardiness/queiroga2020/Capacity20/10/10J_s10_r40/1.dat,batchschedulingtotalweightedtardiness,queiroga2020,queiroga2020,382,382
batchschedulingtotalweightedtardiness/queiroga2020/Capacity20/10/10J_s10_r40/2.dat,batchschedulingtotalweightedtardiness,queiroga2020,queiroga2020,384,384
batchschedulingtotalweightedtardiness/queiroga2020/Capacity20/10/10J_s10_r40/3.dat,batchschedulingtotalweightedtardiness,queiroga2020,queiroga2020,486,486
batchschedulingtotalweightedtardiness/queiroga2020/Capacity20/10/10J_s10_r40/4.dat,batchschedulingtotalweightedtardiness,queiroga2020,queiroga2020,545,545
batchschedulingtotalweightedtardiness/queiroga2020/Capacity20/10/10J_s10_r40/5.dat,batchschedulingtotalweightedtardiness,queiroga2020,queiroga2020,207,207
batchschedulingtotalweightedtardiness/queiroga2020/Capacity20/10/10J_s10_r80/1.dat,batchschedulingtotalweightedtardiness,queiroga2020,queiroga2020,249,249
batchschedulingtotalweightedtardiness/queiroga2020/Capacity20/10/10J_s10_r80/2.dat,batchschedulingtotalweightedtardiness,queiroga2020,queiroga2020,66,66
batchschedulingtotalweightedtardiness/queiroga2020/Capacity20/10/10J_s10_r80/3.dat,batchschedulingtotalweightedtardiness,queiroga2020,queiroga2020,37,37
batchschedulingtotalweightedtardiness/queiroga2020/Capacity20/10/10J_s10_r80/4.dat,batchschedulingtotalweightedtardiness,queiroga2020,queiroga2020,177,177
batchschedulingtotalweightedtardiness/queiroga2020/Capacity20/10/10J_s10_r80/5.dat,batchschedulingtotalweightedtardiness,queiroga2020,queiroga2020,87,87
batchschedulingtotalweightedtardiness/queiroga2020/Capacity20/10/10J_s15_r10/1.dat,batchschedulingtotalweightedtardiness,queiroga2020,queiroga2020,481,481
batchschedulingtotalweightedtardiness/queiroga2020/Capacity20/10/10J_s15_r10/2.dat,batchschedulingtotalweightedtardiness,queiroga2020,queiroga2020,1432,1432
batchschedulingtotalweightedtardiness/queiroga2020/Capacity20/10/10J_s15_r10/3.dat,batchschedulingtotalweightedtardiness,queiroga2020,queiroga2020,257,257
batchschedulingtotalweightedtardiness/queiroga2020/Capacity20/10/10J_s15_r10/4.dat,batchschedulingtotalweightedtardiness,queiroga2020,queiroga2020,368,368
batchschedulingtotalweightedtardiness/queiroga2020/Capacity20/10/10J_s15_r10/5.dat,batchschedulingtotalweightedtardiness,queiroga2020,queiroga2020,330,330
batchschedulingtotalweightedtardiness/queiroga2020/Capacity20/10/10J_s15_r40/1.dat,batchschedulingtotalweightedtardiness,queiroga2020,queiroga2020,308,308
batchschedulingtotalweightedtardiness/queiroga2020/Capacity20/10/10J_s15_r40/2.dat,batchschedulingtotalweightedtardiness,queiroga2020,queiroga2020,463,463
batchschedulingtotalweightedtardiness/queiroga2020/Capacity20/10/10J_s15_r40/3.dat,batchschedulingtotalweightedtardiness,queiroga2020,queiroga2020,389,389
batchschedulingtotalweightedtardiness/queiroga2020/Capacity20/10/10J_s15_r40/4.dat,batchschedulingtotalweightedtardiness,queiroga2020,queiroga2020,476,476
batchschedulingtotalweightedtardiness/queiroga2020/Capacity20/10/10J_s15_r40/5.dat,batchschedulingtotalweightedtardiness,queiroga2020,queiroga2020,386,386
batchschedulingtotalweightedtardiness/queiroga2020/Capacity20/10/10J_s15_r80/1.dat,batchschedulingtotalweightedtardiness,queiroga2020,queiroga2020,850,850
batchschedulingtotalweightedtardiness/queiroga2020/Capacity20/10/10J_s15_r80/2.dat,batchschedulingtotalweightedtardiness,queiroga2020,queiroga2020,289,289
batchschedulingtotalweightedtardiness/queiroga2020/Capacity20/10/10J_s15_r80/3.dat,batchschedulingtotalweightedtardiness,queiroga2020,queiroga2020,271,271
batchschedulingtotalweightedtardiness/queiroga2020/Capacity20/10/10J_s15_r80/4.dat,batchschedulingtotalweightedtardiness,queiroga2020,queiroga2020,126,126
batchschedulingtotalweightedtardiness/queiroga2020/Capacity20/10/10J_s15_r80/5.dat,batchschedulingtotalweightedtardiness,queiroga2020,queiroga2020,302,302
batchschedulingtotalweightedtardiness/queiroga2020/Capacity20/10/10J_s20_r10/1.dat,batchschedulingtotalweightedtardiness,queiroga2020,queiroga2020,1234,1234
batchschedulingtotalweightedtardiness/queiroga2020/Capacity20/10/10J_s20_r10/2.dat,batchschedulingtotalweightedtardiness,queiroga2020,queiroga2020,422,422
batchschedulingtotalweightedtardiness/queiroga2020/Capacity20/10/10J_s20_r10/3.dat,batchschedulingtotalweightedtardiness,queiroga2020,queiroga2020,401,401
batchschedulingtotalweightedtardiness/queiroga2020/Capacity20/10/10J_s20_r10/4.dat,batchschedulingtotalweightedtardiness,queiroga2020,queiroga2020,882,882
batchschedulingtotalweightedtardiness/queiroga2020/Capacity20/10/10J_s20_r10/5.dat,batchschedulingtotalweightedtardiness,queiroga2020,queiroga2020,621,621
batchschedulingtotalweightedtardiness/queiroga2020/Capacity20/10/10J_s20_r40/1.dat,batchschedulingtotalweightedtardiness,queiroga2020,queiroga2020,366,366
batchschedulingtotalweightedtardiness/queiroga2020/Capacity20/10/10J_s20_r40/2.dat,batchschedulingtotalweightedtardiness,queiroga2020,queiroga2020,125,125
batchschedulingtotalweightedtardiness/queiroga2020/Capacity20/10/10J_s20_r40/3.dat,batchschedulingtotalweightedtardiness,queiroga2020,queiroga2020,531,531
batchschedulingtotalweightedtardiness/queiroga2020/Capacity20/10/10J_s20_r40/4.dat,batchschedulingtotalweightedtardiness,queiroga2020,queiroga2020,281,281
batchschedulingtotalweightedtardiness/queiroga2020/Capacity20/10/10J_s20_r40/5.dat,batchschedulingtotalweightedtardiness,queiroga2020,queiroga2020,376,376
batchschedulingtotalweightedtardiness/queiroga2020/Capacity20/10/10J_s20_r80/1.dat,batchschedulingtotalweightedtardiness,queiroga2020,queiroga2020,504,504
batchschedulingtotalweightedtardiness/queiroga2020/Capacity20/10/10J_s20_r80/2.dat,batchschedulingtotalweightedtardiness,queiroga2020,queiroga2020,526,526
batchschedulingtotalweightedtardiness/queiroga2020/Capacity20/10/10J_s20_r80/3.dat,batchschedulingtotalweightedtardiness,queiroga2020,queiroga2020,653,653
batchschedulingtotalweightedtardiness/queiroga2020/Capacity20/10/10J_s20_r80/4.dat,batchschedulingtotalweightedtardiness,queiroga2020,queiroga2020,373,373
batchschedulingtotalweightedtardiness/queiroga2020/Capacity20/10/10J_s20_r80/5.dat,batchschedulingtotalweightedtardiness,queiroga2020,queiroga2020,237,237
batchschedulingtotalweightedtardiness/queiroga2020/Capacity20/15/15J_s10_r10/1.dat,batchschedulingtotalweightedtardiness,queiroga2020,queiroga2020,774,774
