Path,Problem,Format,Dataset,Best known solution value,Best known bound
./orderacceptanceandscheduling/cesaret2012/10orders/Tao1/R1/Dataslack_10orders_Tao1R1_1.txt,orderacceptanceandscheduling,cesaret2012,cesaret2012,116.00,119.11
./orderacceptanceandscheduling/cesaret2012/10orders/Tao1/R1/Dataslack_10orders_Tao1R1_2.txt,orderacceptanceandscheduling,cesaret2012,cesaret2012,126.00,126.12
./orderacceptanceandscheduling/cesaret2012/10orders/Tao1/R1/Dataslack_10orders_Tao1R1_3.txt,orderacceptanceandscheduling,cesaret2012,cesaret2012,90.00,90.08
./orderacceptanceandscheduling/cesaret2012/10orders/Tao1/R1/Dataslack_10orders_Tao1R1_4.txt,orderacceptanceandscheduling,cesaret2012,cesaret2012,119.00,119.11
./orderacceptanceandscheduling/cesaret2012/10orders/Tao1/R1/Dataslack_10orders_Tao1R1_5.txt,orderacceptanceandscheduling,cesaret2012,cesaret2012,92.00,94.09
./orderacceptanceandscheduling/cesaret2012/10orders/Tao1/R1/Dataslack_10orders_Tao1R1_6.txt,orderacceptanceandscheduling,cesaret2012,cesaret2012,111.00,111.10
./orderacceptanceandscheduling/cesaret2012/10orders/Tao1/R1/Dataslack_10orders_Tao1R1_7.txt,orderacceptanceandscheduling,cesaret2012,cesaret2012,102.00,102.10
./orderacceptanceandscheduling/cesaret2012/10orders/Tao1/R1/Dataslack_10orders_Tao1R1_8.txt,orderacceptanceandscheduling,cesaret2012,cesaret2012,102.00,104.10
./orderacceptanceandscheduling/cesaret2012/10orders/Tao1/R1/Dataslack_10orders_Tao1R1_9.txt,orderacceptanceandscheduling,cesaret2012,cesaret2012,116.00,117.11
./orderacceptanceandscheduling/cesaret2012/10orders/Tao1/R1/Dataslack_10orders_Tao1R1_10.txt,orderacceptanceandscheduling,cesaret2012,cesaret2012,105.00,105.10
./orderacceptanceandscheduling/cesaret2012/10orders/Tao1/R3/Dataslack_10orders_Tao1R3_1.txt,orderacceptanceandscheduling,cesaret2012,cesaret2012,87.00,89.08
./orderacceptanceandscheduling/cesaret2012/10orders/Tao1/R3/Dataslack_10orders_Tao1R3_2.txt,orderacceptanceandscheduling,cesaret2012,cesaret2012,103.00,103.10
