Path,Problem,Format,Dataset,Best known solution value,Best known bound
sequentialordering/tsplib/br17.10.sop,sequentialordering,tsplib,tsplib,55,55
sequentialordering/tsplib/br17.12.sop,sequentialordering,tsplib,tsplib,55,55
sequentialordering/tsplib/ESC07.sop,sequentialordering,tsplib,tsplib,2125,2125
sequentialordering/tsplib/ESC11.sop,sequentialordering,tsplib,tsplib,,
sequentialordering/tsplib/ESC12.sop,sequentialordering,tsplib,tsplib,1675,1675
sequentialordering/tsplib/ESC25.sop,sequentialordering,tsplib,tsplib,1681,1681
sequentialordering/tsplib/ESC47.sop,sequentialordering,tsplib,tsplib,1288,1288
sequentialordering/tsplib/ESC63.sop,sequentialordering,tsplib,tsplib,62,62
sequentialordering/tsplib/ESC78.sop,sequentialordering,tsplib,tsplib,18230,18230
sequentialordering/tsplib/ft53.1.sop,sequentialordering,tsplib,tsplib,7531,7531
sequentialordering/tsplib/ft53.2.sop,sequentialordering,tsplib,tsplib,8026,8026
sequentialordering/tsplib/ft53.3.sop,sequentialordering,tsplib,tsplib,10262,10262
sequentialordering/tsplib/ft53.4.sop,sequentialordering,tsplib,tsplib,14425,14425
sequentialordering/tsplib/ft70.1.sop,sequentialordering,tsplib,tsplib,39313,39313
sequentialordering/tsplib/ft70.2.sop,sequentialordering,tsplib,tsplib,40419,40101
sequentialordering/tsplib/ft70.3.sop,sequentialordering,tsplib,tsplib,42535,42535
sequentialordering/tsplib/ft70.4.sop,sequentialordering,tsplib,tsplib,53530,53530
sequentialordering/tsplib/kro124p.1.sop,sequentialordering,tsplib,tsplib,39420,38762
sequentialordering/tsplib/kro124p.2.sop,sequentialordering,tsplib,tsplib,41336,39841
sequentialordering/tsplib/kro124p.3.sop,sequentialordering,tsplib,tsplib,49499,43904
sequentialordering/tsplib/kro124p.4.sop,sequentialordering,tsplib,tsplib,76103,73021
sequentialordering/tsplib/p43.1.sop,sequentialordering,tsplib,tsplib,28140,28140
sequentialordering/tsplib/p43.2.sop,sequentialordering,tsplib,tsplib,28480,28480
sequentialordering/tsplib/p43.3.sop,sequentialordering,tsplib,tsplib,28835,28835
sequentialordering/tsplib/p43.4.sop,sequentialordering,tsplib,tsplib,83005,83005
sequentialordering/tsplib/prob.100.sop,sequentialordering,tsplib,tsplib,243,243
sequentialordering/tsplib/prob.42.sop,sequentialordering,tsplib,tsplib,1163,1045
sequentialordering/tsplib/rbg048a.sop,sequentialordering,tsplib,tsplib,351,351
sequentialordering/tsplib/rbg050c.sop,sequentialordering,tsplib,tsplib,467,467
sequentialordering/tsplib/rbg109a.sop,sequentialordering,tsplib,tsplib,1038,1038
sequentialordering/tsplib/rbg150a.sop,sequentialordering,tsplib,tsplib,1750,1750
sequentialordering/tsplib/rbg174a.sop,sequentialordering,tsplib,tsplib,2033,2033
sequentialordering/tsplib/rbg253a.sop,sequentialordering,tsplib,tsplib,2950,2950
sequentialordering/tsplib/rbg323a.sop,sequentialordering,tsplib,tsplib,3140,3140
sequentialordering/tsplib/rbg341a.sop,sequentialordering,tsplib,tsplib,2568,2568
sequentialordering/tsplib/rbg358a.sop,sequentialordering,tsplib,tsplib,2545,2545
sequentialordering/tsplib/rbg378a.sop,sequentialordering,tsplib,tsplib,2816,2809
sequentialordering/tsplib/ry48p.1.sop,sequentialordering,tsplib,tsplib,15805,15805
sequentialordering/tsplib/ry48p.2.sop,sequentialordering,tsplib,tsplib,16666,16074
sequentialordering/tsplib/ry48p.3.sop,sequentialordering,tsplib,tsplib,19894,19490
sequentialordering/tsplib/ry48p.4.sop,sequentialordering,tsplib,tsplib,31446,31446
sequentialordering/soplib/R.200.100.1.sop,sequentialordering,soplib,soplib,61,61
sequentialordering/soplib/R.200.100.15.sop,sequentialordering,soplib,soplib,1792,1792
sequentialordering/soplib/R.200.100.30.sop,sequentialordering,soplib,soplib,4216,4216
sequentialordering/soplib/R.200.100.60.sop,sequentialordering,soplib,soplib,71749,71749
sequentialordering/soplib/R.200.1000.1.sop,sequentialordering,soplib,soplib,1404,1404
sequentialordering/soplib/R.200.1000.15.sop,sequentialordering,soplib,soplib,20481,20481
sequentialordering/soplib/R.200.1000.30.sop,sequentialordering,soplib,soplib,41196,41196
sequentialordering/soplib/R.200.1000.60.sop,sequentialordering,soplib,soplib,71556,71556
sequentialordering/soplib/R.300.100.1.sop,sequentialordering,soplib,soplib,26,26
sequentialordering/soplib/R.300.100.15.sop,sequentialordering,soplib,soplib,3152,3152
sequentialordering/soplib/R.300.100.30.sop,sequentialordering,soplib,soplib,6120,6120
sequentialordering/soplib/R.300.100.60.sop,sequentialordering,soplib,soplib,9726,9726
sequentialordering/soplib/R.300.1000.1.sop,sequentialordering,soplib,soplib,1294,1294
sequentialordering/soplib/R.300.1000.15.sop,sequentialordering,soplib,soplib,29006,29006
sequentialordering/soplib/R.300.1000.30.sop,sequentialordering,soplib,soplib,54147,54147
sequentialordering/soplib/R.300.1000.60.sop,sequentialordering,soplib,soplib,109471,109471
sequentialordering/soplib/R.400.100.1.sop,sequentialordering,soplib,soplib,13,13
sequentialordering/soplib/R.400.100.15.sop,sequentialordering,soplib,soplib,3879,3879
sequentialordering/soplib/R.400.100.30.sop,sequentialordering,soplib,soplib,8165,8165
sequentialordering/soplib/R.400.100.60.sop,sequentialordering,soplib,soplib,15228,15228
sequentialordering/soplib/R.400.1000.1.sop,sequentialordering,soplib,soplib,1343,1343
sequentialordering/soplib/R.400.1000.15.sop,sequentialordering,soplib,soplib,38963,35364
sequentialordering/soplib/R.400.1000.30.sop,sequentialordering,soplib,soplib,85128,85128
sequentialordering/soplib/R.400.1000.60.sop,sequentialordering,soplib,soplib,140816,140816
sequentialordering/soplib/R.500.100.1.sop,sequentialordering,soplib,soplib,4,4
sequentialordering/soplib/R.500.100.15.sop,sequentialordering,soplib,soplib,5261,4628
sequentialordering/soplib/R.500.100.30.sop,sequentialordering,soplib,soplib,9665,9665
sequentialordering/soplib/R.500.100.60.sop,sequentialordering,soplib,soplib,18240,18240
sequentialordering/soplib/R.500.1000.1.sop,sequentialordering,soplib,soplib,1316,1316
sequentialordering/soplib/R.500.1000.15.sop,sequentialordering,soplib,soplib,49366,43134
